id,text,sender_header,threat_category,has_url,has_apk_reference,is_scam
sms-scam-0344,"Dear customer, your parcel #928117241 is held at distribution hub due to address verification. Please update address details at https://bit.ly/sbi-kyc-802 and confirm with ₹10 test transfer.",IN-POST,courier_customs,1,0,1
sms-ham-0108,Zomato: Enjoy 50% off up to ₹100 on your next order! Use code FEAST. Order now on the app.,AD-ZOMATO,merchant_promo,0,0,0
sms-scam-0347,Urgent: Bijli supply kat hoga aaj raat 10 baje. Bill baki hai. Turant payment kare link pe https://bit.ly/sbi-kyc-827 ya UPI refund.desk@paytm pe bhejo. Electricity dept.,VK-DHBVN,utility_disconnection,1,0,1
sms-ham-0169,"Dear SBI UPI User, payment of ₹4500 to swiggy@icici successful. UPI Ref: 492819692079. - SBI",VK-SBIUPI,bank_alert,0,0,0
sms-ham-0664,"Hey, sent you ₹850 for yesterday's dinner. Please check your GPay. Let me know once received.",PERSONAL,organic_p2p,0,0,0
sms-ham-0534,"Dear Customer, ₹4500 debited from your A/c ending 8812 at Apollo Hospitals. Available Balance: ₹31360. - Axis Bank",AD-AXISBK,bank_alert,0,0,0
sms-ham-0703,"Electricity bill for Consumer No 192839 generated. Amount: ₹150, Due Date: 15-Sep. Pay via official portal or BESCOM app.",VM-BESCOM,utility_official,0,0,0
sms-scam-0192,Greetings from HR. Your application for remote data consultant is approved. Please transfer refundable seat reservation fee ₹25000 to coordinator UPI kbc.tax@ybl.,HR-CAREER,job_scam,0,0,1
sms-ham-0417,"Electricity bill for Consumer No 192839 generated. Amount: ₹18500, Due Date: 15-Sep. Pay via official portal or BESCOM app.",VM-BESCOM,utility_official,0,0,0
sms-ham-0539,"Electricity bill for Consumer No 192839 generated. Amount: ₹150, Due Date: 15-Sep. Pay via official portal or BESCOM app.",VM-BESCOM,utility_official,0,0,0
sms-scam-0143,"Customer Support: To resolve your pending UPI refund of ₹499, download our official QuickSupport tool https://tinyurl.com/quicksupport-v5.apk and share code. TeamViewer/AnyDesk.",CP-REFUND,apk_screen_share,1,1,1
sms-ham-0726,"Hi Rohit, sharing the consulting invoice for ₹4500. Please process transfer by end of this week.",PERSONAL,organic_p2p,0,0,0
sms-ham-0213,"Dear Customer, ₹850 debited from your A/c ending 8812 at Apollo Hospitals. Available Balance: ₹113501. - Axis Bank",AD-AXISBK,bank_alert,0,0,0
sms-scam-0158,HDFC Bank Alert: Your debit card & UPI access suspended. Complete mandatory KYC verification within 24 hours to avoid penalty: https://bit.ly/sbi-kyc-176,AD-HDFCBK,bank_kyc,1,0,1
sms-scam-0083,"Dear Customer, Your electricity power will be disconnected tonight at 9.30 PM from electricity office because your previous month bill was not updated. Please immediately pay ₹25000 on UPI customs.fine@okhdfc to avoid cut. Call officer at 9891506018.",VM-POWER,utility_disconnection,0,0,1
sms-scam-0134,"Dear SBI User, your YONO Netbanking account is blocked today due to pending PAN Aadhaar KYC. Update immediately to prevent permanent deactivation: https://bit.ly/sbi-kyc-921",VK-SBIINB,bank_kyc,1,0,1
sms-scam-0053,Urgent: Bijli supply kat hoga aaj raat 10 baje. Bill baki hai. Turant payment kare link pe https://bit.ly/sbi-kyc-955 ya UPI disconnection.officer@sbi pe bhejo. Electricity dept.,VK-DHBVN,utility_disconnection,1,0,1
sms-ham-0025,Zomato: Enjoy 50% off up to ₹100 on your next order! Use code FEAST. Order now on the app.,AD-ZOMATO,merchant_promo,0,0,0
sms-ham-0003,Zomato: Enjoy 50% off up to ₹100 on your next order! Use code FEAST. Order now on the app.,AD-ZOMATO,merchant_promo,0,0,0
sms-scam-0217,"Customer Support: To resolve your pending UPI refund of ₹50, download our official QuickSupport tool https://tinyurl.com/quicksupport-v9.apk and share code. TeamViewer/AnyDesk.",CP-REFUND,apk_screen_share,1,1,1
sms-ham-0467,"Hey, sent you ₹1200 for yesterday's dinner. Please check your GPay. Let me know once received.",PERSONAL,organic_p2p,0,0,0
sms-ham-0360,"Dear Customer, ₹4500 debited from your A/c ending 4921 on 28-Aug-2026 at Amazon Retail. Balance: ₹62172. - HDFC Bank",AD-HDFCBK,bank_alert,0,0,0
sms-scam-0157,"Dear SBI User, your YONO Netbanking account is blocked today due to pending PAN Aadhaar KYC. Update immediately to prevent permanent deactivation: https://bit.ly/sbi-kyc-568",VK-SBIINB,bank_kyc,1,0,1
sms-ham-0152,Zomato: Enjoy 50% off up to ₹100 on your next order! Use code FEAST. Order now on the app.,AD-ZOMATO,merchant_promo,0,0,0
sms-ham-0681,Your Swiggy order #8921 has been placed successfully for ₹1200. Delivery partner will arrive in 25 mins.,AX-SWIGGY,merchant_promo,0,0,0
sms-ham-0304,"Hi Rohit, sharing the consulting invoice for ₹1200. Please process transfer by end of this week.",PERSONAL,organic_p2p,0,0,0
sms-ham-0634,"Your Uber ride OTP is 286367. Do not share this OTP with anyone, including the driver.",VK-UBERIN,otp_service,0,0,0
sms-scam-0287,DISCOM ALERT: Final notice for meter disconnection. Pay processing charge ₹25000 immediately to prevent legal FIR and fine. UPI: disconnection.officer@sbi,AD-BESCOM,utility_disconnection,0,0,1
sms-ham-0532,Zomato: Enjoy 50% off up to ₹100 on your next order! Use code FEAST. Order now on the app.,AD-ZOMATO,merchant_promo,0,0,0
sms-ham-0522,"Hey, sent you ₹1200 for yesterday's dinner. Please check your GPay. Let me know once received.",PERSONAL,organic_p2p,0,0,0
sms-ham-0480,"Dear Customer, ₹4500 debited from your A/c ending 8812 at Apollo Hospitals. Available Balance: ₹34221. - Axis Bank",AD-AXISBK,bank_alert,0,0,0
sms-scam-0100,"Dear Customer, Your electricity power will be disconnected tonight at 9.30 PM from electricity office because your previous month bill was not updated. Please immediately pay ₹2500 on UPI customs.fine@okhdfc to avoid cut. Call officer at 9849678699.",VM-POWER,utility_disconnection,0,0,1
