id,text,threat_category,legitimate,payment_request,urgency,payment_pressure,authority_impersonation,phishing,social_engineering,fraud
ml-ctx-0001,"Dear customer, your parcel #928117241 is held at distribution hub due to address verification. Please update address details at https://bit.ly/sbi-kyc-802 and confirm with ₹10 test transfer.",courier_customs,0,1,0,0,1,1,1,1
ml-ctx-0002,Zomato: Enjoy 50% off up to ₹100 on your next order! Use code FEAST. Order now on the app.,merchant_promo,1,1,1,0,0,0,0,0
ml-ctx-0003,Urgent: Bijli supply kat hoga aaj raat 10 baje. Bill baki hai. Turant payment kare link pe https://bit.ly/sbi-kyc-827 ya UPI refund.desk@paytm pe bhejo. Electricity dept.,utility_disconnection,0,1,1,1,1,1,1,1
ml-ctx-0004,"Dear SBI UPI User, payment of ₹4500 to swiggy@icici successful. UPI Ref: 492819692079. - SBI",bank_alert,1,1,0,0,1,0,0,0
ml-ctx-0005,"Hey, sent you ₹850 for yesterday's dinner. Please check your GPay. Let me know once received.",organic_p2p,1,1,0,0,0,0,0,0
ml-ctx-0006,"Dear Customer, ₹4500 debited from your A/c ending 8812 at Apollo Hospitals. Available Balance: ₹31360. - Axis Bank",bank_alert,1,1,0,0,1,0,0,0
ml-ctx-0007,"Electricity bill for Consumer No 192839 generated. Amount: ₹150, Due Date: 15-Sep. Pay via official portal or BESCOM app.",utility_official,1,1,0,0,1,0,0,0
ml-ctx-0008,Greetings from HR. Your application for remote data consultant is approved. Please transfer refundable seat reservation fee ₹25000 to coordinator UPI kbc.tax@ybl.,job_scam,0,1,0,0,1,0,1,1
ml-ctx-0009,"Electricity bill for Consumer No 192839 generated. Amount: ₹18500, Due Date: 15-Sep. Pay via official portal or BESCOM app.",utility_official,1,1,0,0,1,0,0,0
ml-ctx-0010,"Customer Support: To resolve your pending UPI refund of ₹499, download our official QuickSupport tool https://tinyurl.com/quicksupport-v5.apk and share code. TeamViewer/AnyDesk.",apk_screen_share,0,1,0,0,1,1,1,1
ml-ctx-0011,"Hi Rohit, sharing the consulting invoice for ₹4500. Please process transfer by end of this week.",organic_p2p,1,1,0,0,0,0,0,0
ml-ctx-0012,"Dear Customer, ₹850 debited from your A/c ending 8812 at Apollo Hospitals. Available Balance: ₹113501. - Axis Bank",bank_alert,1,1,0,0,1,0,0,0
ml-ctx-0013,HDFC Bank Alert: Your debit card & UPI access suspended. Complete mandatory KYC verification within 24 hours to avoid penalty: https://bit.ly/sbi-kyc-176,bank_kyc,0,1,1,1,1,1,1,1
ml-ctx-0014,"Dear Customer, Your electricity power will be disconnected tonight at 9.30 PM from electricity office because your previous month bill was not updated. Please immediately pay ₹25000 on UPI customs.fine@okhdfc to avoid cut. Call officer at 9891506018.",utility_disconnection,0,1,1,1,1,0,1,1
ml-ctx-0015,"Dear SBI User, your YONO Netbanking account is blocked today due to pending PAN Aadhaar KYC. Update immediately to prevent permanent deactivation: https://bit.ly/sbi-kyc-921",bank_kyc,0,1,1,1,1,1,1,1
ml-ctx-0016,Urgent: Bijli supply kat hoga aaj raat 10 baje. Bill baki hai. Turant payment kare link pe https://bit.ly/sbi-kyc-955 ya UPI disconnection.officer@sbi pe bhejo. Electricity dept.,utility_disconnection,0,1,1,1,1,1,1,1
ml-ctx-0017,"Customer Support: To resolve your pending UPI refund of ₹50, download our official QuickSupport tool https://tinyurl.com/quicksupport-v9.apk and share code. TeamViewer/AnyDesk.",apk_screen_share,0,1,0,0,1,1,1,1
ml-ctx-0018,"Hey, sent you ₹1200 for yesterday's dinner. Please check your GPay. Let me know once received.",organic_p2p,1,1,0,0,0,0,0,0
ml-ctx-0019,"Dear Customer, ₹4500 debited from your A/c ending 4921 on 28-Aug-2026 at Amazon Retail. Balance: ₹62172. - HDFC Bank",bank_alert,1,1,0,0,1,0,0,0
ml-ctx-0020,"Dear SBI User, your YONO Netbanking account is blocked today due to pending PAN Aadhaar KYC. Update immediately to prevent permanent deactivation: https://bit.ly/sbi-kyc-568",bank_kyc,0,1,1,1,1,1,1,1
ml-ctx-0021,Your Swiggy order #8921 has been placed successfully for ₹1200. Delivery partner will arrive in 25 mins.,merchant_promo,1,1,0,0,0,0,0,0
ml-ctx-0022,"Hi Rohit, sharing the consulting invoice for ₹1200. Please process transfer by end of this week.",organic_p2p,1,1,0,0,0,0,0,0
ml-ctx-0023,"Your Uber ride OTP is 286367. Do not share this OTP with anyone, including the driver.",otp_service,1,0,0,0,0,0,0,0
ml-ctx-0024,DISCOM ALERT: Final notice for meter disconnection. Pay processing charge ₹25000 immediately to prevent legal FIR and fine. UPI: disconnection.officer@sbi,utility_disconnection,0,1,1,1,1,0,1,1
ml-ctx-0025,"Dear Customer, ₹4500 debited from your A/c ending 8812 at Apollo Hospitals. Available Balance: ₹34221. - Axis Bank",bank_alert,1,1,0,0,1,0,0,0
ml-ctx-0026,"Dear Customer, Your electricity power will be disconnected tonight at 9.30 PM from electricity office because your previous month bill was not updated. Please immediately pay ₹2500 on UPI customs.fine@okhdfc to avoid cut. Call officer at 9849678699.",utility_disconnection,0,1,1,1,1,0,1,1
ml-ctx-0027,"Dear SBI UPI User, payment of ₹850 to amazon@apl successful. UPI Ref: 492819932046. - SBI",bank_alert,1,1,0,0,1,0,0,0
ml-ctx-0028,"Dear customer, your parcel #928135291 is held at distribution hub due to address verification. Please update address details at https://bit.ly/sbi-kyc-546 and confirm with ₹10 test transfer.",courier_customs,0,1,0,0,1,1,1,1
ml-ctx-0029,"Hello sir, we noticed an accidental overcharge of ₹25000 on your recent utility bill. Kindly authorize the refund voucher on https://bit.ly/sbi-kyc-591 to claim back to your account.",subtle_refund_scam,0,1,0,0,1,1,1,1
ml-ctx-0030,"Dear Customer, ₹850 debited from your A/c ending 8812 at Apollo Hospitals. Available Balance: ₹148962. - Axis Bank",bank_alert,1,1,0,0,1,0,0,0
ml-ctx-0031,"Hello sir, we noticed an accidental overcharge of ₹25000 on your recent utility bill. Kindly authorize the refund voucher on https://bit.ly/sbi-kyc-647 to claim back to your account.",subtle_refund_scam,0,1,0,0,1,1,1,1
ml-ctx-0032,Recharge of ₹850 successful for Jio number ending 9821. Data: 2GB/day for 28 days.,telecom_recharge,1,1,0,0,0,0,0,0
ml-ctx-0033,"Congratulations! Your SIM number won ₹25,00,000 cash prize in KBC Lottery 2026. To claim lottery amount, deposit registration tax ₹10 to manager UPI layer1_mule@icici now.",lottery_kbc,0,1,1,0,1,0,1,1
ml-ctx-0034,"Dear Customer, ₹150 debited from your A/c ending 8812 at Apollo Hospitals. Available Balance: ₹106602. - Axis Bank",bank_alert,1,1,0,0,1,0,0,0
ml-ctx-0035,"Dear Customer, ₹350 debited from your A/c ending 4921 on 28-Aug-2026 at Amazon Retail. Balance: ₹110159. - HDFC Bank",bank_alert,1,1,0,0,1,0,0,0
ml-ctx-0036,Recharge of ₹350 successful for Jio number ending 9821. Data: 2GB/day for 28 days.,telecom_recharge,1,1,0,0,0,0,0,0
ml-ctx-0037,"Dear SBI User, your YONO Netbanking account is blocked today due to pending PAN Aadhaar KYC. Update immediately to prevent permanent deactivation: https://bit.ly/sbi-kyc-611",bank_kyc,0,1,1,1,1,1,1,1
ml-ctx-0038,"Dear SBI UPI User, payment of ₹4500 to amazon@apl successful. UPI Ref: 492819160941. - SBI",bank_alert,1,1,0,0,1,0,0,0
ml-ctx-0039,Urgent: Bijli supply kat hoga aaj raat 10 baje. Bill baki hai. Turant payment kare link pe https://bit.ly/sbi-kyc-447 ya UPI disconnection.officer@sbi pe bhejo. Electricity dept.,utility_disconnection,0,1,1,1,1,1,1,1
ml-ctx-0040,"Hi Rohit, sharing the consulting invoice for ₹850. Please process transfer by end of this week.",organic_p2p,1,1,0,0,0,0,0,0
ml-ctx-0041,HDFC Bank Alert: Your debit card & UPI access suspended. Complete mandatory KYC verification within 24 hours to avoid penalty: https://bit.ly/sbi-kyc-478,bank_kyc,0,1,1,1,1,1,1,1
ml-ctx-0042,"Hey, sent you ₹18500 for yesterday's dinner. Please check your GPay. Let me know once received.",organic_p2p,1,1,0,0,0,0,0,0
ml-ctx-0043,"Dear Customer, ₹850 debited from your A/c ending 8812 at Apollo Hospitals. Available Balance: ₹84798. - Axis Bank",bank_alert,1,1,0,0,1,0,0,0
ml-ctx-0044,"Dear customer, your parcel #928176839 is held at distribution hub due to address verification. Please update address details at https://bit.ly/sbi-kyc-227 and confirm with ₹10 test transfer.",courier_customs,0,1,0,0,1,1,1,1
ml-ctx-0045,"Congratulations! Your SIM number won ₹25,00,000 cash prize in KBC Lottery 2026. To claim lottery amount, deposit registration tax ₹50 to manager UPI mule_781@axis now.",lottery_kbc,0,1,1,0,1,0,1,1
ml-ctx-0046,"Dear Customer, ₹850 debited from your A/c ending 8812 at Apollo Hospitals. Available Balance: ₹51950. - Axis Bank",bank_alert,1,1,0,0,1,0,0,0
ml-ctx-0047,Recharge of ₹4500 successful for Jio number ending 9821. Data: 2GB/day for 28 days.,telecom_recharge,1,1,0,0,0,0,0,0
ml-ctx-0048,"Dear SBI UPI User, payment of ₹850 to swiggy@icici successful. UPI Ref: 492819392834. - SBI",bank_alert,1,1,0,0,1,0,0,0
ml-ctx-0049,"Congratulations! Your SIM number won ₹25,00,000 cash prize in KBC Lottery 2026. To claim lottery amount, deposit registration tax ₹2500 to manager UPI refund.desk@paytm now.",lottery_kbc,0,1,1,0,1,0,1,1
ml-ctx-0050,Greetings from HR. Your application for remote data consultant is approved. Please transfer refundable seat reservation fee ₹10 to coordinator UPI customs.fine@okhdfc.,job_scam,0,1,0,1,1,0,1,1
ml-ctx-0051,"Hello sir, we noticed an accidental overcharge of ₹25 on your recent utility bill. Kindly authorize the refund voucher on https://bit.ly/sbi-kyc-975 to claim back to your account.",subtle_refund_scam,0,1,0,0,1,1,1,1
ml-ctx-0052,"Congratulations! Your SIM number won ₹25,00,000 cash prize in KBC Lottery 2026. To claim lottery amount, deposit registration tax ₹100 to manager UPI kbc.tax@ybl now.",lottery_kbc,0,1,1,0,1,0,1,1
