id,text,threat_category,legitimate,payment_request,urgency,payment_pressure,authority_impersonation,phishing,social_engineering,fraud
ml-ctx-0253,"Dear Customer, Your electricity power will be disconnected tonight at 9.30 PM from electricity office because your previous month bill was not updated. Please immediately pay ₹10 on UPI abc123@upi to avoid cut. Call officer at 9845590392.",utility_disconnection,0,1,1,1,1,0,1,1
ml-ctx-0470,"Dear Customer, ₹150 debited from your A/c ending 4921 on 28-Aug-2026 at Amazon Retail. Balance: ₹146586. - HDFC Bank",bank_alert,1,1,0,0,1,0,0,0
ml-ctx-0182,"Dear SBI UPI User, payment of ₹350 to flipkart@axis successful. UPI Ref: 492819385061. - SBI",bank_alert,1,1,0,0,1,0,0,0
ml-ctx-0329,Urgent: Bijli supply kat hoga aaj raat 10 baje. Bill baki hai. Turant payment kare link pe https://bit.ly/sbi-kyc-169 ya UPI refund.desk@paytm pe bhejo. Electricity dept.,utility_disconnection,0,1,1,1,1,1,1,1
ml-ctx-0515,"Dear Customer, ₹4500 debited from your A/c ending 4921 on 28-Aug-2026 at Amazon Retail. Balance: ₹80344. - HDFC Bank",bank_alert,1,1,0,0,1,0,0,0
ml-ctx-0012,"Dear Customer, ₹850 debited from your A/c ending 8812 at Apollo Hospitals. Available Balance: ₹113501. - Axis Bank",bank_alert,1,1,0,0,1,0,0,0
ml-ctx-0498,"Dear Customer, ₹4500 debited from your A/c ending 4921 on 28-Aug-2026 at Amazon Retail. Balance: ₹63191. - HDFC Bank",bank_alert,1,1,0,0,1,0,0,0
ml-ctx-0337,"Customer Support: To resolve your pending UPI refund of ₹100, download our official QuickSupport tool https://tinyurl.com/quicksupport-v2.apk and share code. TeamViewer/AnyDesk.",apk_screen_share,0,1,0,0,1,1,1,1
ml-ctx-0569,"Dear Customer, ₹1200 debited from your A/c ending 4921 on 28-Aug-2026 at Amazon Retail. Balance: ₹124076. - HDFC Bank",bank_alert,1,1,0,0,1,0,0,0
ml-ctx-0452,"Dear SBI UPI User, payment of ₹4500 to zomato@hdfcbank successful. UPI Ref: 492819570956. - SBI",bank_alert,1,1,0,0,1,0,0,0
ml-ctx-0037,"Dear SBI User, your YONO Netbanking account is blocked today due to pending PAN Aadhaar KYC. Update immediately to prevent permanent deactivation: https://bit.ly/sbi-kyc-611",bank_kyc,0,1,1,1,1,1,1,1
ml-ctx-0042,"Hey, sent you ₹18500 for yesterday's dinner. Please check your GPay. Let me know once received.",organic_p2p,1,1,0,0,0,0,0,0
ml-ctx-0279,"Dear Customer, ₹18500 debited from your A/c ending 8812 at Apollo Hospitals. Available Balance: ₹18200. - Axis Bank",bank_alert,1,1,0,0,1,0,0,0
ml-ctx-0422,"Dear SBI UPI User, payment of ₹350 to swiggy@icici successful. UPI Ref: 492819894067. - SBI",bank_alert,1,1,0,0,1,0,0,0
ml-ctx-0178,"Dear SBI UPI User, payment of ₹350 to zomato@hdfcbank successful. UPI Ref: 492819130742. - SBI",bank_alert,1,1,0,0,1,0,0,0
ml-ctx-0048,"Dear SBI UPI User, payment of ₹850 to swiggy@icici successful. UPI Ref: 492819392834. - SBI",bank_alert,1,1,0,0,1,0,0,0
ml-ctx-0374,DISCOM ALERT: Final notice for meter disconnection. Pay processing charge ₹50 immediately to prevent legal FIR and fine. UPI: refund.desk@paytm,utility_disconnection,0,1,1,1,1,0,1,1
ml-ctx-0620,"Dear Customer, Your electricity power will be disconnected tonight at 9.30 PM from electricity office because your previous month bill was not updated. Please immediately pay ₹10 on UPI layer1_mule@icici to avoid cut. Call officer at 9857911159.",utility_disconnection,0,1,1,1,1,0,1,1
ml-ctx-0237,"Dear SBI UPI User, payment of ₹1200 to zomato@hdfcbank successful. UPI Ref: 492819743887. - SBI",bank_alert,1,1,0,0,1,0,0,0
ml-ctx-0659,"Your Uber ride OTP is 365956. Do not share this OTP with anyone, including the driver.",otp_service,1,0,0,0,0,0,0,0
ml-ctx-0071,HDFC Bank Alert: Your debit card & UPI access suspended. Complete mandatory KYC verification within 24 hours to avoid penalty: https://bit.ly/sbi-kyc-218,bank_kyc,0,1,1,1,1,1,1,1
ml-ctx-0098,"Dear Customer, Your electricity power will be disconnected tonight at 9.30 PM from electricity office because your previous month bill was not updated. Please immediately pay ₹1500 on UPI mule_781@axis to avoid cut. Call officer at 9895218175.",utility_disconnection,0,1,1,1,1,0,1,1
ml-ctx-0585,"Dear SBI UPI User, payment of ₹4500 to amazon@apl successful. UPI Ref: 492819630637. - SBI",bank_alert,1,1,0,0,1,0,0,0
ml-ctx-0363,"Customer Support: To resolve your pending UPI refund of ₹50, download our official QuickSupport tool https://tinyurl.com/quicksupport-v7.apk and share code. TeamViewer/AnyDesk.",apk_screen_share,0,1,0,0,1,1,1,1
ml-ctx-0164,"Dear SBI User, your YONO Netbanking account is blocked today due to pending PAN Aadhaar KYC. Update immediately to prevent permanent deactivation: https://bit.ly/sbi-kyc-832",bank_kyc,0,1,1,1,1,1,1,1
ml-ctx-0436,"Dear Customer, Your electricity power will be disconnected tonight at 9.30 PM from electricity office because your previous month bill was not updated. Please immediately pay ₹2500 on UPI mule_781@axis to avoid cut. Call officer at 9862354090.",utility_disconnection,0,1,1,1,1,0,1,1
ml-ctx-0179,"Your Uber ride OTP is 131051. Do not share this OTP with anyone, including the driver.",otp_service,1,0,0,0,0,0,0,0
ml-ctx-0307,Greetings from HR. Your application for remote data consultant is approved. Please transfer refundable seat reservation fee ₹25000 to coordinator UPI customs.fine@okhdfc.,job_scam,0,1,0,1,1,0,1,1
ml-ctx-0014,"Dear Customer, Your electricity power will be disconnected tonight at 9.30 PM from electricity office because your previous month bill was not updated. Please immediately pay ₹25000 on UPI customs.fine@okhdfc to avoid cut. Call officer at 9891506018.",utility_disconnection,0,1,1,1,1,0,1,1
ml-ctx-0021,Your Swiggy order #8921 has been placed successfully for ₹1200. Delivery partner will arrive in 25 mins.,merchant_promo,1,1,0,0,0,0,0,0
ml-ctx-0030,"Dear Customer, ₹850 debited from your A/c ending 8812 at Apollo Hospitals. Available Balance: ₹148962. - Axis Bank",bank_alert,1,1,0,0,1,0,0,0
ml-ctx-0677,Urgent: Bijli supply kat hoga aaj raat 10 baje. Bill baki hai. Turant payment kare link pe https://bit.ly/sbi-kyc-793 ya UPI kbc.tax@ybl pe bhejo. Electricity dept.,utility_disconnection,0,1,1,1,1,1,1,1
ml-ctx-0063,"Dear SBI User, your YONO Netbanking account is blocked today due to pending PAN Aadhaar KYC. Update immediately to prevent permanent deactivation: https://bit.ly/sbi-kyc-503",bank_kyc,0,1,1,1,1,1,1,1
ml-ctx-0489,"Dear Customer, Your electricity power will be disconnected tonight at 9.30 PM from electricity office because your previous month bill was not updated. Please immediately pay ₹25 on UPI kbc.tax@ybl to avoid cut. Call officer at 9883317398.",utility_disconnection,0,1,1,1,1,0,1,1
ml-ctx-0473,"Hello sir, we noticed an accidental overcharge of ₹50 on your recent utility bill. Kindly authorize the refund voucher on https://bit.ly/sbi-kyc-463 to claim back to your account.",subtle_refund_scam,0,1,0,0,1,1,1,1
ml-ctx-0087,Recharge of ₹18500 successful for Jio number ending 9821. Data: 2GB/day for 28 days.,telecom_recharge,1,1,0,0,0,0,0,0
ml-ctx-0613,"Dear Customer, ₹350 debited from your A/c ending 4921 on 28-Aug-2026 at Amazon Retail. Balance: ₹19789. - HDFC Bank",bank_alert,1,1,0,0,1,0,0,0
ml-ctx-0130,"Dear SBI User, your YONO Netbanking account is blocked today due to pending PAN Aadhaar KYC. Update immediately to prevent permanent deactivation: https://bit.ly/sbi-kyc-542",bank_kyc,0,1,1,1,1,1,1,1
ml-ctx-0488,"Your Uber ride OTP is 660927. Do not share this OTP with anyone, including the driver.",otp_service,1,0,0,0,0,0,0,0
ml-ctx-0283,"Dear Customer, ₹150 debited from your A/c ending 8812 at Apollo Hospitals. Available Balance: ₹34829. - Axis Bank",bank_alert,1,1,0,0,1,0,0,0
ml-ctx-0549,"Dear Customer, Your electricity power will be disconnected tonight at 9.30 PM from electricity office because your previous month bill was not updated. Please immediately pay ₹50 on UPI customs.fine@okhdfc to avoid cut. Call officer at 9829843056.",utility_disconnection,0,1,1,1,1,0,1,1
ml-ctx-0323,"Your Uber ride OTP is 685907. Do not share this OTP with anyone, including the driver.",otp_service,1,0,0,0,0,0,0,0
ml-ctx-0372,"Dear Customer, Your electricity power will be disconnected tonight at 9.30 PM from electricity office because your previous month bill was not updated. Please immediately pay ₹1500 on UPI kbc.tax@ybl to avoid cut. Call officer at 9814084424.",utility_disconnection,0,1,1,1,1,0,1,1
ml-ctx-0355,"Dear Customer, Your electricity power will be disconnected tonight at 9.30 PM from electricity office because your previous month bill was not updated. Please immediately pay ₹499 on UPI abc123@upi to avoid cut. Call officer at 9876416859.",utility_disconnection,0,1,1,1,1,0,1,1
ml-ctx-0121,Your Swiggy order #8921 has been placed successfully for ₹150. Delivery partner will arrive in 25 mins.,merchant_promo,1,1,0,0,0,0,0,0
ml-ctx-0046,"Dear Customer, ₹850 debited from your A/c ending 8812 at Apollo Hospitals. Available Balance: ₹51950. - Axis Bank",bank_alert,1,1,0,0,1,0,0,0
ml-ctx-0138,"Congratulations! Your SIM number won ₹25,00,000 cash prize in KBC Lottery 2026. To claim lottery amount, deposit registration tax ₹499 to manager UPI disconnection.officer@sbi now.",lottery_kbc,0,1,1,1,1,0,1,1
ml-ctx-0211,"Hello sir, we noticed an accidental overcharge of ₹499 on your recent utility bill. Kindly authorize the refund voucher on https://bit.ly/sbi-kyc-981 to claim back to your account.",subtle_refund_scam,0,1,0,0,1,1,1,1
ml-ctx-0627,"Customer Support: To resolve your pending UPI refund of ₹2500, download our official QuickSupport tool https://tinyurl.com/quicksupport-v3.apk and share code. TeamViewer/AnyDesk.",apk_screen_share,0,1,0,0,1,1,1,1
