id,scenario_type,text,expected_label,legitimate,payment_request,urgency,payment_pressure,authority_impersonation,phishing,social_engineering,fraud,notes
hn-001,LEGITIMATE_URGENT_MEDICAL,"Immediate payment required for emergency ICU admission medicines at Apollo Hospital Pharmacy: ₹14500.",BENIGN_URGENT,1,1,1,0,0,0,0,0,Urgent but genuine hospital medical invoice
hn-002,LEGITIMATE_ELECTRICITY_BILL,"Dear consumer 882910, your electricity bill of ₹850 is due today. Pay safely via the official utility portal or Mahavitaran mobile app.",BENIGN_BILL,1,1,1,0,0,0,0,0,Official utility bill notification directing to official portal
hn-003,LEGITIMATE_BANK_DEBIT,"Dear Customer, ₹4500 debited from your A/c ending 8812 on 01-Sep-2026. Available balance: ₹31360. If not done by you, call 18002584455. - HDFC Bank",BENIGN_BANK_ALERT,1,0,0,0,0,0,0,0,Standard transactional debit SMS alert
hn-004,LEGITIMATE_MERCHANT_PAYMENT,"Payment request of ₹1200 from Swiggy for Order #92819. Pay to swiggy@icici using any UPI app.",BENIGN_MERCHANT,1,1,0,0,0,0,0,0,Routine verified merchant checkout request
hn-005,POLITE_SCAM_NO_URGENCY,"Greetings, we noticed an extra credit of ₹499 in your wallet account. Whenever convenient, kindly return the excess amount to support-desk@okhdfc.",SCAM_POLITE,0,1,0,0,1,1,1,1,Polite tone scam without overt urgency keywords
hn-006,SCAM_OLD_KYC_ACCOUNT,"Hello Sir, this is regarding the corporate security deposit refund. Please authorize ₹50 verification fee to finance.desk@axis.",SCAM_KYC_HANDLE,0,1,0,0,1,0,1,1,Scam routed through compromised or mule account
hn-007,SCAM_NO_SUSPICIOUS_URL,"Electricity board notice: power disconnection scheduled at 10 PM. Transfer unpaid dues ₹150 to junior engineer UPI bijli.officer@sbi immediately.",SCAM_NO_URL,0,1,1,1,1,0,1,1,Scam utilizing direct VPA instead of phishing link
hn-008,SCAM_SMALL_10_RUPEE,"Pay ₹10 immediately to prevent electricity power cut tonight. Send to bill.desk@paytm to reactivate connection.",SCAM_SMALL_AMOUNT,0,1,1,1,1,0,1,1,Micro-amount coercion hook
hn-009,SCAM_AUTHORITY_IMPERSONATION,"TRAI Notice: Your mobile SIM will be blocked within 2 hours due to illegal activity. Transfer ₹500 KYC compliance charge to TRAI officer.",SCAM_AUTHORITY,0,1,1,1,1,0,1,1,High pressure authority impersonation
hn-010,SCAM_NORMAL_VELOCITY,"Hi friend, I am stuck at the petrol pump and my card failed. Could you please send ₹2000 to pump.merchant@icici? I will cash you back in 10 mins.",SCAM_IMPERSONATION,0,1,1,0,1,0,1,1,Social engineering impersonating a trusted friend
hn-011,LEGITIMATE_URGENT_TAXI,"Your Uber ride has ended. Fare ₹340 charged to cash/UPI. Pay driver directly or via Uber App.",BENIGN_TAXI,1,1,0,0,0,0,0,0,Legitimate transport invoice
hn-012,LEGITIMATE_CREDIT_CARD_DUE,"Your Credit Card statement balance ₹12890 is due on 05-Sep. Pay via CRED or Netbanking to avoid late charges.",BENIGN_CC_DUE,1,1,0,0,0,0,0,0,Official statement payment reminder
hn-013,SCAM_COURIER_CUSTOMS,"Your international courier #IX8829 is detained at customs. Pay clearance tax ₹1250 immediately to courier.clearance@ybl or parcel will be forfeited.",SCAM_CUSTOMS,0,1,1,1,1,0,1,1,Customs parcel hold scam
hn-014,SCAM_PART_TIME_JOB,"Congratulations! Selected for Telegram YouTube video review job. Daily earn ₹3000-5000. Send ₹1000 refundable security deposit to hr.recruitment@paytm.",SCAM_JOB,0,1,0,0,1,0,1,1,Job task deposit scam
hn-015,LEGITIMATE_SUBSCRIPTION_RENEWAL,"Your Netflix Premium subscription renews tomorrow for ₹649. Auto-debit will be processed from your linked UPI mandate.",BENIGN_SUBSCRIPTION,1,1,0,0,0,0,0,0,Recurring subscription notice
